Latitude;Longitude
51.44576873326702; 7.345815495685185
51.44489511620327; 7.344152157043719
51.44482568726601; 7.3436433524829186
51.44443162915628; 7.342956917927542
51.44441080643861; 7.342012142197156
51.44473175770076; 7.340863123027334
51.4461560115061; 7.339664939597588
51.44612920404443; 7.339406865318518
51.446273666311704; 7.3388500939524235
51.44676312031634; 7.337324495031852
51.44664368714886; 7.335918733439176
51.446105492411185; 7.333859496644084
51.446329853853385; 7.333346609792277
51.440808104807054; 7.330270555721219
51.44010989113937; 7.3303024800809755
51.44001169347725; 7.330685676840971
51.43841885200313; 7.332825371852587
51.43825695245168; 7.3330127124671645
51.4382542983559; 7.333395909227161
51.439009027141104; 7.336753498877574
51.43874362117159; 7.337217592731347
51.438698502001856; 7.3375241500899575
51.43841649937006; 7.338491572766018
51.43814006825267; 7.340011016696586
51.43821092423388; 7.3407953263354315
51.43845360513734; 7.3416876206784965
51.440435011067464; 7.343942907282016
51.44091688832118; 7.345051937791641
51.44079972723234; 7.345230917900284
51.440901525700276; 7.34562190943062
51.44267403262994; 7.34879712716248
51.44294893273718; 7.348602139716676
51.44330906905624; 7.346148089934224
51.44379996247574; 7.345679793046037
51.444184452386; 7.3450028912074465
51.444515975522506; 7.344181424121664
51.44456945567671; 7.34387953676631
51.445724133308055; 7.345972069087715
