Latitude;Longitude
51.45654987232381; 7.353471022181108
51.46176955570296; 7.287852769386213
51.44304118203695; 7.293804479698599
51.41411428960469; 7.261118101010619
51.3955935148761; 7.264335915457143
51.384357969851635; 7.260851571270191

51.35535389913719; 7.273765838994623
51.34586174718266; 7.274896895735704
51.33468311123879; 7.266929950891095
51.31651160789838; 7.26649789312782
51.30926415250989; 7.265666653285711
51.29750024123438; 7.261881757286517
51.28872921403164; 7.256853823746191
51.27802704758814; 7.25978171622595
51.272361114691684; 7.2548680932395815
51.26772494614593; 7.251197672465031
51.26428248324036; 7.243440659036737
51.25158781395784; 7.22516322367089
51.239010901610634; 7.230996186803796
51.230996397619094; 7.230591119914062
51.21720981091473; 7.249698515296281
51.23011570985415; 7.231043255108682
51.22252795472352; 7.242982422471837
51.21610660243771; 7.251122547034799
51.21220507967764; 7.2527569427040355
51.20675267401916; 7.251539324350307
51.19122660679114; 7.236536339300284
51.1756415066123; 7.2381079556368
51.170895741342285; 7.23783721841402
51.15626228183694; 7.2246360279023385
51.150808777730184; 7.206107325117042
51.14424308151081; 7.200775479832407
51.13944859272286; 7.191896735501629
51.13344488895313; 7.189082838379516
51.12748458825402; 7.183097516298354
51.11932641899066; 7.156479447648147
51.08707324118633; 7.135552906973969
51.05360172897692; 7.04867605629632
51.03768383833117; 6.99024221183082
